Employee_ID,Name,Department,Job_Role,Skills
1000,Employee_1,Finance,Billing Specialist,"Invoicing, Revenue Management, Customer Billing"
1001,Employee_2,IT,DevOps Engineer,"Linux, Docker, Kubernetes"
1002,Employee_3,Finance,Financial Analyst,"Budget Forecasting, Financial Modeling, Excel"
1003,Employee_4,Customer Support,Call Center Agent,"Communication Skills, Customer Service, CRM"
1004,Employee_5,HR,Payroll Specialist,"Compensation & Benefits, Payroll Processing, Labor Laws"
1005,Employee_6,IT,Cybersecurity Specialist,"Penetration Testing, Linux, Firewalls"
1006,Employee_7,Sales,Sales Executive,"Cold Calling, CRM, Negotiation"
1007,Employee_8,Customer Support,Technical Support Engineer,"Telecom Systems, Troubleshooting, Networking"
1008,Employee_9,Customer Support,Call Center Agent,"Customer Service, CRM, Communication Skills"
1009,Employee_10,Finance,Financial Analyst,"Excel, Financial Modeling, Budget Forecasting"
1010,Employee_11,Sales,Sales Executive,"Cold Calling, CRM, Negotiation"
1011,Employee_12,IT,Software Engineer,"Python, SQL, Cloud Computing"
1012,Employee_13,Finance,Accountant,"Financial Reporting, Taxation, Auditing"
1013,Employee_14,Finance,Accountant,"Auditing, Taxation, Financial Reporting"
1014,Employee_15,Network Operations,RF Engineer,"RF Optimization, 5G Deployment, Antenna Design"
1015,Employee_16,IT,Cybersecurity Specialist,"Network Security, Penetration Testing, Linux"
1016,Employee_17,Sales,Business Development Manager,"Strategic Planning, Lead Generation, Sales Forecasting"
1017,Employee_18,Sales,Business Development Manager,"Sales Forecasting, Strategic Planning, Lead Generation"
1018,Employee_19,HR,Recruitment Specialist,"Interviewing, Hiring, Candidate Screening"
1019,Employee_20,Customer Support,Call Center Agent,"Communication Skills, CRM, Customer Service"
1020,Employee_21,IT,Software Engineer,"Java, SQL, Python"
1021,Employee_22,Network Operations,System Administrator,"Linux Administration, Windows Server, Virtualization"
1022,Employee_23,Finance,Accountant,"Auditing, Taxation, Financial Reporting"
1023,Employee_24,IT,Software Engineer,"Java, SQL, Cloud Computing"
1024,Employee_25,HR,Payroll Specialist,"Compensation & Benefits, Payroll Processing, Labor Laws"
1025,Employee_26,Network Operations,Network Engineer,"Cisco Routing, Network Protocols, 5G Networks"
1026,Employee_27,Network Operations,RF Engineer,"5G Deployment, Antenna Design, RF Optimization"
1027,Employee_28,Finance,Financial Analyst,"Financial Modeling, Budget Forecasting, Excel"
1028,Employee_29,HR,HR Manager,"Recruitment, HR Policies, Employee Relations"
1029,Employee_30,IT,Data Scientist,"Machine Learning, Big Data, SQL"
1030,Employee_31,IT,Cybersecurity Specialist,"Linux, Firewalls, Penetration Testing"
1031,Employee_32,IT,Cybersecurity Specialist,"Penetration Testing, Linux, Network Security"
1032,Employee_33,Customer Support,Customer Support Manager,"CRM, Leadership, Conflict Resolution"
1033,Employee_34,Customer Support,Call Center Agent,"Customer Service, CRM, Communication Skills"
1034,Employee_35,Sales,Key Account Manager,"Sales Strategy, Market Analysis, Client Relationship"
1035,Employee_36,Customer Support,Technical Support Engineer,"Networking, Telecom Systems, Troubleshooting"
1036,Employee_37,IT,DevOps Engineer,"Linux, Docker, Kubernetes"
1037,Employee_38,Finance,Accountant,"Taxation, Financial Reporting, Auditing"
1038,Employee_39,Network Operations,System Administrator,"Virtualization, Linux Administration, Windows Server"
1039,Employee_40,Marketing,SEO Specialist,"Content Marketing, Google Analytics, SEO"
1040,Employee_41,Network Operations,Network Engineer,"Cloud Networking, Network Protocols, Cisco Routing"
1041,Employee_42,IT,Data Scientist,"SQL, Big Data, Machine Learning"
1042,Employee_43,HR,Payroll Specialist,"Labor Laws, Payroll Processing, Compensation & Benefits"
1043,Employee_44,Sales,Sales Executive,"CRM, Cold Calling, Negotiation"
1044,Employee_45,Customer Support,Customer Support Manager,"Leadership, CRM, Conflict Resolution"
1045,Employee_46,Customer Support,Customer Support Manager,"CRM, Leadership, Conflict Resolution"
1046,Employee_47,Sales,Business Development Manager,"Strategic Planning, Sales Forecasting, Lead Generation"
1047,Employee_48,Finance,Financial Analyst,"Excel, Budget Forecasting, Financial Modeling"
1048,Employee_49,Finance,Billing Specialist,"Revenue Management, Invoicing, Customer Billing"
1049,Employee_50,Network Operations,Network Engineer,"5G Networks, Network Protocols, Cloud Networking"
1050,Employee_51,HR,Recruitment Specialist,"Interviewing, Candidate Screening, Hiring"
1051,Employee_52,Marketing,Digital Marketing Manager,"Email Marketing, PPC Advertising, Social Media Marketing"
1052,Employee_53,Network Operations,Telecom Technician,"Wireless Communication, Fiber Optics, Network Maintenance"
1053,Employee_54,IT,Software Engineer,"Java, Python, SQL"
1054,Employee_55,HR,Recruitment Specialist,"Interviewing, Hiring, Candidate Screening"
1055,Employee_56,Customer Support,Call Center Agent,"Customer Service, Communication Skills, CRM"
1056,Employee_57,IT,Data Scientist,"Python, Machine Learning, Big Data"
1057,Employee_58,Finance,Accountant,"Auditing, Financial Reporting, Taxation"
1058,Employee_59,Finance,Accountant,"Taxation, Financial Reporting, Auditing"
1059,Employee_60,Customer Support,Technical Support Engineer,"Troubleshooting, Telecom Systems, Networking"
1060,Employee_61,HR,Payroll Specialist,"Payroll Processing, Labor Laws, Compensation & Benefits"
1061,Employee_62,Network Operations,Telecom Technician,"Fiber Optics, Network Maintenance, Wireless Communication"
1062,Employee_63,HR,HR Manager,"HR Policies, Recruitment, Employee Relations"
1063,Employee_64,HR,Payroll Specialist,"Labor Laws, Payroll Processing, Compensation & Benefits"
1064,Employee_65,IT,Data Scientist,"Python, Big Data, Machine Learning"
1065,Employee_66,Finance,Billing Specialist,"Invoicing, Customer Billing, Revenue Management"
1066,Employee_67,IT,Data Scientist,"Machine Learning, SQL, Big Data"
1067,Employee_68,Customer Support,Customer Support Manager,"Leadership, CRM, Conflict Resolution"
1068,Employee_69,Marketing,Digital Marketing Manager,"Social Media Marketing, PPC Advertising, Email Marketing"
1069,Employee_70,Customer Support,Call Center Agent,"CRM, Customer Service, Communication Skills"
1070,Employee_71,Marketing,SEO Specialist,"Google Analytics, Content Marketing, SEO"
1071,Employee_72,Marketing,Brand Manager,"Advertising, Market Research, Brand Positioning"
1072,Employee_73,Network Operations,Telecom Technician,"Network Maintenance, Fiber Optics, Wireless Communication"
1073,Employee_74,Marketing,Brand Manager,"Brand Positioning, Advertising, Market Research"
1074,Employee_75,Sales,Sales Executive,"Negotiation, Cold Calling, CRM"
1075,Employee_76,Finance,Accountant,"Financial Reporting, Auditing, Taxation"
1076,Employee_77,Sales,Sales Executive,"Negotiation, Cold Calling, CRM"
1077,Employee_78,Marketing,Digital Marketing Manager,"Email Marketing, Social Media Marketing, PPC Advertising"
1078,Employee_79,Network Operations,System Administrator,"Windows Server, Virtualization, Linux Administration"
1079,Employee_80,Finance,Billing Specialist,"Revenue Management, Invoicing, Customer Billing"
1080,Employee_81,HR,Payroll Specialist,"Payroll Processing, Labor Laws, Compensation & Benefits"
1081,Employee_82,Network Operations,System Administrator,"Linux Administration, Windows Server, Virtualization"
1082,Employee_83,Customer Support,Call Center Agent,"CRM, Customer Service, Communication Skills"
1083,Employee_84,IT,Data Scientist,"Python, SQL, Machine Learning"
1084,Employee_85,HR,Payroll Specialist,"Labor Laws, Compensation & Benefits, Payroll Processing"
1085,Employee_86,Marketing,Brand Manager,"Brand Positioning, Advertising, Market Research"
1086,Employee_87,Network Operations,RF Engineer,"RF Optimization, 5G Deployment, Antenna Design"
1087,Employee_88,Customer Support,Customer Support Manager,"Conflict Resolution, CRM, Leadership"
1088,Employee_89,Marketing,SEO Specialist,"Content Marketing, SEO, Google Analytics"
1089,Employee_90,Network Operations,RF Engineer,"5G Deployment, Antenna Design, RF Optimization"
1090,Employee_91,Sales,Business Development Manager,"Sales Forecasting, Strategic Planning, Lead Generation"
1091,Employee_92,IT,Cybersecurity Specialist,"Network Security, Linux, Penetration Testing"
1092,Employee_93,Marketing,SEO Specialist,"Google Analytics, Content Marketing, SEO"
1093,Employee_94,HR,Payroll Specialist,"Compensation & Benefits, Payroll Processing, Labor Laws"
1094,Employee_95,IT,Data Scientist,"Python, SQL, Machine Learning"
1095,Employee_96,IT,DevOps Engineer,"Docker, AWS, Linux"
1096,Employee_97,Finance,Accountant,"Taxation, Financial Reporting, Auditing"
1097,Employee_98,Sales,Business Development Manager,"Strategic Planning, Sales Forecasting, Lead Generation"
1098,Employee_99,Finance,Billing Specialist,"Revenue Management, Invoicing, Customer Billing"
1099,Employee_100,IT,Software Engineer,"Java, Python, Cloud Computing"
1100,Employee_101,HR,HR Manager,"Employee Relations, Recruitment, HR Policies"
1101,Employee_102,Customer Support,Customer Support Manager,"Conflict Resolution, CRM, Leadership"
1102,Employee_103,Marketing,Brand Manager,"Advertising, Market Research, Brand Positioning"
1103,Employee_104,HR,Payroll Specialist,"Labor Laws, Payroll Processing, Compensation & Benefits"
1104,Employee_105,Customer Support,Call Center Agent,"CRM, Communication Skills, Customer Service"
1105,Employee_106,HR,HR Manager,"HR Policies, Employee Relations, Recruitment"
1106,Employee_107,IT,Data Scientist,"SQL, Big Data, Python"
1107,Employee_108,Network Operations,Network Engineer,"Cisco Routing, Cloud Networking, Network Protocols"
1108,Employee_109,Finance,Billing Specialist,"Revenue Management, Customer Billing, Invoicing"
1109,Employee_110,Finance,Accountant,"Auditing, Financial Reporting, Taxation"
1110,Employee_111,Sales,Business Development Manager,"Strategic Planning, Lead Generation, Sales Forecasting"
1111,Employee_112,Finance,Billing Specialist,"Invoicing, Revenue Management, Customer Billing"
1112,Employee_113,Finance,Billing Specialist,"Invoicing, Revenue Management, Customer Billing"
1113,Employee_114,HR,Recruitment Specialist,"Interviewing, Hiring, Candidate Screening"
1114,Employee_115,Marketing,SEO Specialist,"Google Analytics, Content Marketing, SEO"
1115,Employee_116,Finance,Billing Specialist,"Invoicing, Customer Billing, Revenue Management"
1116,Employee_117,Marketing,Brand Manager,"Brand Positioning, Advertising, Market Research"
1117,Employee_118,IT,Data Scientist,"Machine Learning, Big Data, Python"
1118,Employee_119,IT,Data Scientist,"Big Data, Machine Learning, SQL"
1119,Employee_120,HR,Payroll Specialist,"Compensation & Benefits, Payroll Processing, Labor Laws"
1120,Employee_121,Marketing,Digital Marketing Manager,"PPC Advertising, Email Marketing, Social Media Marketing"
1121,Employee_122,IT,Data Scientist,"Python, Big Data, Machine Learning"
1122,Employee_123,HR,Payroll Specialist,"Payroll Processing, Labor Laws, Compensation & Benefits"
1123,Employee_124,IT,Cybersecurity Specialist,"Network Security, Linux, Firewalls"
1124,Employee_125,HR,Recruitment Specialist,"Hiring, Interviewing, Candidate Screening"
1125,Employee_126,Network Operations,RF Engineer,"Antenna Design, RF Optimization, 5G Deployment"
1126,Employee_127,IT,Software Engineer,"Java, Python, Cloud Computing"
1127,Employee_128,Network Operations,RF Engineer,"5G Deployment, RF Optimization, Antenna Design"
1128,Employee_129,Marketing,Brand Manager,"Advertising, Brand Positioning, Market Research"
1129,Employee_130,IT,Software Engineer,"Cloud Computing, Java, SQL"
1130,Employee_131,Sales,Business Development Manager,"Lead Generation, Strategic Planning, Sales Forecasting"
1131,Employee_132,Network Operations,Network Engineer,"Cloud Networking, 5G Networks, Cisco Routing"
